rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
660,7/20/1971,1279,149,156,RAD,12/31/1995,F,0.75,0.96,"269,353","48,121","3,103","292,345",0,"181,653","296,231","67,252","40,000","180,689",0,"180,689",0,0,0,"165,000","165,000",0,10,3,0,"435,600","180,689",134,34,0,100,0,0,134,0,0,0,0,2.27,0,0,98,36,0,0,0
662,06/03/1971,789,319,65,S8NCON,12/31/1995,A,1.16,1.23,"321,833",0,"13,903","265,990",0,"138,810","167,552","54,586",0,"95,443","1,588","93,855",0,0,0,"85,152","85,152",0,17,2,0,"414,691","95,443",100,78,0,22,0,0,100,0,0,0,0,1.96,0,16,72,12,0,0,0
664,10/28/1971,574,36,109,MISC,12/31/1995,A,1.29,35.05,"818,009","206,976","26,093","454,667",0,"3,599,184","162,726","60,048",0,"163,912","14,127","149,785",0,0,"1,893","89,367","89,367",0,6,3,0,"144,347","165,805",154,73,32,49,0,0,154,0,0,0,0,1.56,15,44,88,7,0,0,0
667,9/28/1972,1073,223,82,S8SUBR,12/31/1995,A,1.42,2.46,"26,086",0,247,"18,235",0,"9,196","7,585","3,847",0,"8,388",888,"7,500",0,"1,837","1,173","9,096","9,096",0,1,3,0,"4,868","11,398",6,6,0,0,0,0,6,0,0,0,0,3.67,0,0,0,2,4,0,0
668,07/08/1971,93,229,77,MISC,12/31/1995,A,1.43,4.38,"162,007",0,"11,126","105,659",0,"159,977","67,027","30,520",0,"69,736","7,584","62,152",0,0,"2,160","64,320","64,320",0,6,3,0,"109,771","69,736",72,18,54,0,0,0,72,0,0,4,0,1.83,0,12,60,0,0,0,0
669,5/20/1971,1064,494,147,S8SUBR,12/31/1995,A,1.26,5.05,"148,119","8,606","2,207","108,907",0,"171,978","55,434","21,407",0,"38,896","4,291","34,605",0,0,"2,118","39,600","39,600",0,16,3,0,"31,197","41,014",45,45,0,0,0,0,45,0,0,0,0,2.51,0,2,18,25,0,0,0
671,11/11/1971,1188,231,40,SEC236,12/31/1995,A,1.1,3.27,"101,390","6,890","2,752","83,529",0,"65,441","30,732","10,723",0,"190,000",0,"190,000",0,0,0,"10,800","10,800",0,1,4,0,"6,000","190,000",22,22,0,0,0,0,22,0,0,0,0,1.27,0,16,6,0,0,0,0
672,08/12/1971,273,83,75,INTERN,12/31/1995,A,1.14,2.07,"364,675","64,215","27,765","239,973",0,"293,596","219,585","77,805",0,"128,439","1,500","126,939","7,700",0,0,"127,481","120,436","7,045",1,9,2,0,"136,139",164,33,0,131,0,0,164,0,0,0,0,1.1,17,114,33,0,0,0,0
674,2/17/1972,378,49,85,SEC236,12/31/1995,D,0.65,1.19,"440,018","165,875","58,648","333,926",0,"210,638","237,168","60,388",0,"221,175","29,220","191,955",0,0,"1,607","191,720","191,720",0,10,3,0,"573,075","221,175",200,50,150,0,0,0,200,0,0,4,0,2.34,0,0,132,68,0,0,0
675,09/11/1973,907,64,135,SEC13A,12/31/1995,C,0.9,0.9,"254,164","37,126","28,622","208,976",0,"164,334","220,816","37,408",0,"98,302","4,044","94,258","1,260",0,0,"68,609","67,349","1,260",2,4,0,"51,152","99,562",97,37,60,0,0,0,97,0,0,0,0,1.6,8,29,54,6,0,0,0
